Id,Name,RazaoSocial__c,CNPJ__c,Type,ParentId,Phone,BillingCity,BillingState,SalesModality__c,Segment__c,OwnerId,IsDeleted,CreatedDate,LastModifiedDate
001Qs000000000000001,Rede Câmara Educação,Rede Câmara Educação LTDA,60.480.589/2583-20,Network,,+55 (021) 7028-9517,Ribeirão Preto,SP,Indireto,Básico,005Qs000000000000037,false,2023-06-01 00:00:00,2023-10-01 00:00:00
001Qs000000000000002,Rede Ramos Educação,Rede Ramos Educação LTDA,36.462.251/7908-64,Network,,+55 41 8702 6217,São Paulo,SP,Indireto,Básico,005Qs000000000000028,false,2022-05-14 00:00:00,2025-08-19 00:00:00
001Qs000000000000003,Rede Cassiano Educação,Rede Cassiano Educação LTDA,27.837.693/8983-31,Network,,+55 71 5961-5865,Santos,SP,Indireto,Standard,005Qs000000000000037,false,2022-04-02 00:00:00,2023-10-24 00:00:00
001Qs000000000000004,Rede da Mata Educação,Rede da Mata Educação LTDA,66.553.559/0425-97,Network,,(084) 8091-3431,Sorocaba,SP,Consultivo,Standard,005Qs000000000000003,false,2022-08-28 00:00:00,2024-01-21 00:00:00
001Qs000000000000005,Rede Casa Grande Educação,Rede Casa Grande Educação LTDA,52.110.392/4051-47,Network,,(021) 1172-4005,Ribeirão Preto,SP,Consultivo,Standard,005Qs000000000000014,false,2022-08-05 00:00:00,2024-01-25 00:00:00
001Qs000000000000006,Rede Barbosa Educação,Rede Barbosa Educação LTDA,88.487.920/6980-42,Network,,+55 (081) 4556 2386,São Paulo,SP,Indireto,Premium,005Qs000000000000040,false,2022-10-05 00:00:00,2023-08-24 00:00:00
001Qs000000000000007,Rede Araújo Educação,Rede Araújo Educação LTDA,70.164.510/4636-81,Network,,0300 222 1969,Santos,SP,Indireto,Básico,005Qs000000000000035,false,2022-04-01 00:00:00,2024-01-07 00:00:00
001Qs000000000000008,Rede Cavalcante Educação,Rede Cavalcante Educação LTDA,38.780.038/4576-20,Network,,+55 41 7923-7474,Santos,SP,Digital,Standard,005Qs000000000000023,false,2022-11-06 00:00:00,2024-02-27 00:00:00
001Qs000000000000009,Rede Vieira Educação,Rede Vieira Educação LTDA,84.046.084/3256-21,Network,,+55 (021) 7482 1759,Ribeirão Preto,SP,Digital,Básico,005Qs000000000000040,false,2022-08-21 00:00:00,2024-08-31 00:00:00
001Qs000000000000010,Rede das Neves Educação,Rede das Neves Educação LTDA,39.264.957/8232-98,Network,,(031) 6474 3671,Campinas,SP,Consultivo,Standard,005Qs000000000000034,false,2022-05-19 00:00:00,2024-09-13 00:00:00
001Qs000000000000011,Rede Peixoto Educação,Rede Peixoto Educação LTDA,29.251.881/2520-56,Network,,+55 41 6959-4406,Ribeirão Preto,SP,Indireto,Standard,005Qs000000000000018,false,2022-06-05 00:00:00,2025-09-05 00:00:00
001Qs000000000000012,Rede Souza Educação,Rede Souza Educação LTDA,31.220.994/9993-93,Network,,+55 84 0909-7439,Campinas,SP,Digital,Premium,005Qs000000000000023,false,2022-03-23 00:00:00,2025-06-04 00:00:00
001Qs000000000000013,Rede Nunes Educação,Rede Nunes Educação LTDA,72.897.526/7722-33,Network,,11 3394 2104,São Paulo,SP,Indireto,Premium,005Qs000000000000018,false,2023-02-27 00:00:00,2024-02-13 00:00:00
001Qs000000000000014,Rede da Paz Educação,Rede da Paz Educação LTDA,33.127.975/7366-09,Network,,(031) 0952-1456,Ribeirão Preto,SP,Digital,Standard,005Qs000000000000026,false,2023-06-22 00:00:00,2025-04-17 00:00:00
001Qs000000000000015,Rede Macedo Educação,Rede Macedo Educação LTDA,08.177.038/8608-68,Network,,+55 (051) 3285-8842,São Paulo,SP,Consultivo,Standard,005Qs000000000000029,false,2023-02-12 00:00:00,2025-12-22 00:00:00
001Qs000000000000016,Rede Campos Educação,Rede Campos Educação LTDA,44.726.490/8277-18,Network,,+55 61 7451-7123,São Paulo,SP,Consultivo,Básico,005Qs000000000000035,false,2022-05-19 00:00:00,2024-08-06 00:00:00
001Qs000000000000017,Rede Martins Educação,Rede Martins Educação LTDA,65.702.793/7145-21,Network,,61 8516 0481,São Paulo,SP,Consultivo,Básico,005Qs000000000000029,false,2023-01-07 00:00:00,2023-09-26 00:00:00
001Qs000000000000018,Rede Sales Educação,Rede Sales Educação LTDA,86.892.686/0259-22,Network,,(051) 5496-5137,Campinas,SP,Consultivo,Básico,005Qs000000000000004,false,2023-03-06 00:00:00,2024-05-11 00:00:00
001Qs000000000000019,Rede da Rosa Educação,Rede da Rosa Educação LTDA,47.421.230/9407-77,Network,,+55 (041) 9859 3174,Sorocaba,SP,Consultivo,Básico,005Qs000000000000032,false,2022-09-01 00:00:00,2024-02-08 00:00:00
001Qs000000000000020,Rede Sampaio Educação,Rede Sampaio Educação LTDA,97.767.199/0384-98,Network,,81 1200 4711,Campinas,SP,Consultivo,Premium,005Qs000000000000010,false,2022-02-26 00:00:00,2025-04-29 00:00:00
001Qs000000000000021,Rede Guerra Educação,Rede Guerra Educação LTDA,50.209.945/1016-22,Network,,+55 41 8267-5869,Santos,SP,Digital,Básico,005Qs000000000000039,false,2022-07-01 00:00:00,2024-10-09 00:00:00
001Qs000000000000022,Rede da Mata Educação,Rede da Mata Educação LTDA,95.014.556/1681-47,Network,,+55 (021) 6179-6405,Campinas,SP,Consultivo,Básico,005Qs000000000000018,false,2022-12-04 00:00:00,2024-12-21 00:00:00
001Qs000000000000023,Rede Montenegro Educação,Rede Montenegro Educação LTDA,68.339.019/8179-46,Network,,+55 11 7735-1585,Sorocaba,SP,Indireto,Standard,005Qs000000000000034,false,2022-12-29 00:00:00,2023-11-10 00:00:00
001Qs000000000000024,Rede Nogueira Educação,Rede Nogueira Educação LTDA,99.787.729/3430-10,Network,,+55 (081) 6431 7139,Ribeirão Preto,SP,Digital,Premium,005Qs000000000000014,false,2023-03-01 00:00:00,2024-08-27 00:00:00
001Qs000000000000025,Rede Monteiro Educação,Rede Monteiro Educação LTDA,05.583.034/4144-88,Network,,+55 (031) 0532 9318,Santos,SP,Consultivo,Premium,005Qs000000000000022,false,2022-12-16 00:00:00,2024-08-09 00:00:00
001Qs000000000000026,Rede Macedo Educação,Rede Macedo Educação LTDA,99.023.557/7027-27,Network,,+55 (084) 9335-2904,Sorocaba,SP,Indireto,Standard,005Qs000000000000027,false,2022-02-27 00:00:00,2025-11-02 00:00:00
001Qs000000000000027,Rede Barros Educação,Rede Barros Educação LTDA,84.958.803/9551-24,Network,,+55 (011) 2842-1020,São Paulo,SP,Indireto,Standard,005Qs000000000000035,false,2022-06-19 00:00:00,2025-02-04 00:00:00
001Qs000000000000028,Rede Peixoto Educação,Rede Peixoto Educação LTDA,96.291.450/4617-35,Network,,11 3950 2402,Ribeirão Preto,SP,Indireto,Premium,005Qs000000000000034,false,2022-11-06 00:00:00,2023-12-27 00:00:00
001Qs000000000000029,Rede Aparecida Educação,Rede Aparecida Educação LTDA,15.031.780/7823-57,Network,,84 8117 7589,Sorocaba,SP,Indireto,Standard,005Qs000000000000010,false,2022-04-11 00:00:00,2025-10-19 00:00:00
