Id,ServiceContractId,ProductId,MaterialType__c,SchoolGrade__c,Segment__c,Quantity,UnitPrice,Discount,TotalPrice,CreatedDate
0Li000000000000001,800000000000000001,01t000000000000055,Impresso,9 EF,Standard,90,190.83,0.0314,16635.41,2023-01-25 00:00:00
0Li000000000000002,800000000000000001,01t000000000000042,Impresso,5 EF,Premium,314,240.85,0.156,63829.1,2023-01-25 00:00:00
0Li000000000000003,800000000000000001,01t000000000000060,Impresso,5 EF,Standard,144,152.15,0.1712,18158.68,2023-01-25 00:00:00
0Li000000000000004,800000000000000002,01t000000000000020,Digital,6 EF,Standard,180,223.48,0.1658,33556.86,2024-01-27 00:00:00
0Li000000000000005,800000000000000002,01t000000000000020,Digital,1 EF,Standard,227,177.72,0.1525,34190.22,2024-01-27 00:00:00
0Li000000000000006,800000000000000002,01t000000000000004,Digital,8 EF,Standard,219,119.01,0.1611,21864.41,2024-01-27 00:00:00
0Li000000000000007,800000000000000003,01t000000000000053,Kit Completo,5 EF,Standard,370,76.62,0.1324,24595.94,2025-01-23 00:00:00
0Li000000000000008,800000000000000003,01t000000000000054,Impresso,7 EF,Standard,201,26.63,0.0855,4894.98,2025-01-23 00:00:00
0Li000000000000009,800000000000000004,01t000000000000036,Impresso,9 EF,Standard,388,75.85,0.043,28164.32,2024-01-29 00:00:00
0Li000000000000010,800000000000000004,01t000000000000055,Impresso,6 EF,Básico,150,49.91,0.0486,7122.66,2024-01-29 00:00:00
0Li000000000000011,800000000000000004,01t000000000000031,Kit Completo,1 EF,Básico,492,221.95,0.094,98934.66,2024-01-29 00:00:00
0Li000000000000012,800000000000000004,01t000000000000025,Kit Completo,4 EF,Standard,362,288.72,0.1413,89748.44,2024-01-29 00:00:00
0Li000000000000013,800000000000000004,01t000000000000039,Kit Completo,2 EM,Standard,310,125.01,0.0203,37966.41,2024-01-29 00:00:00
0Li000000000000014,800000000000000004,01t000000000000018,Kit Completo,2 EF,Standard,285,123.45,0.1847,28684.9,2024-01-29 00:00:00
0Li000000000000015,800000000000000005,01t000000000000057,Digital,3 EM,Standard,393,40.72,0.1954,12875.98,2025-01-11 00:00:00
0Li000000000000016,800000000000000005,01t000000000000053,Kit Completo,1 EM,Premium,87,264.71,0.118,20312.26,2025-01-11 00:00:00
0Li000000000000017,800000000000000005,01t000000000000036,Impresso,9 EF,Básico,55,142.71,0.0656,7334.15,2025-01-11 00:00:00
0Li000000000000018,800000000000000006,01t000000000000036,Impresso,3 EF,Premium,281,248.85,0.1379,60283.94,2022-03-01 00:00:00
0Li000000000000019,800000000000000006,01t000000000000056,Kit Completo,6 EF,Standard,412,215.79,0.1478,75765.25,2022-03-01 00:00:00
0Li000000000000020,800000000000000006,01t000000000000048,Impresso,4 EF,Standard,462,80.15,0.0643,34648.32,2022-03-01 00:00:00
0Li000000000000021,800000000000000006,01t000000000000024,Impresso,5 EF,Standard,180,75.72,0.1943,10981.37,2022-03-01 00:00:00
