Id,ProductCode,Name,Brand__c,MaterialType__c,IsActive,CreatedDate
01t000000000000001,SKU-0001,SAE - Kit Completo - 1 EF,SAE,Kit Completo,true,2022-08-18 00:00:00
01t000000000000002,SKU-0002,Isaac - Digital - 7 EF,Isaac,Digital,true,2023-06-30 00:00:00
01t000000000000003,SKU-0003,PGS - Digital - 1 EF,PGS,Digital,true,2023-02-06 00:00:00
01t000000000000004,SKU-0004,COC - Digital - 2 EF,COC,Digital,true,2022-01-26 00:00:00
01t000000000000005,SKU-0005,COC - Kit Completo - 7 EF,COC,Kit Completo,true,2022-03-18 00:00:00
01t000000000000006,SKU-0006,COC - Impresso - 3 EF,COC,Impresso,true,2022-12-04 00:00:00
01t000000000000007,SKU-0007,SAE - Impresso - 2 EM,SAE,Impresso,true,2022-04-10 00:00:00
01t000000000000008,SKU-0008,Isaac - Digital - 7 EF,Isaac,Digital,true,2022-01-25 00:00:00
01t000000000000009,SKU-0009,NSE - Kit Completo - 6 EF,NSE,Kit Completo,true,2022-09-14 00:00:00
01t000000000000010,SKU-0010,COC - Impresso - 8 EF,COC,Impresso,true,2022-09-02 00:00:00
01t000000000000011,SKU-0011,SAE - Impresso - 6 EF,SAE,Impresso,true,2023-06-17 00:00:00
01t000000000000012,SKU-0012,COC - Impresso - 1 EM,COC,Impresso,true,2023-03-26 00:00:00
01t000000000000013,SKU-0013,Isaac - Kit Completo - 8 EF,Isaac,Kit Completo,true,2022-05-08 00:00:00
01t000000000000014,SKU-0014,Isaac - Impresso - 1 EF,Isaac,Impresso,true,2023-01-22 00:00:00
01t000000000000015,SKU-0015,SAE - Kit Completo - 2 EF,SAE,Kit Completo,true,2022-05-11 00:00:00
01t000000000000016,SKU-0016,Isaac - Digital - 1 EF,Isaac,Digital,true,2022-11-05 00:00:00
01t000000000000017,SKU-0017,NSE - Kit Completo - 7 EF,NSE,Kit Completo,true,2022-03-09 00:00:00
01t000000000000018,SKU-0018,Isaac - Kit Completo - 1 EF,Isaac,Kit Completo,true,2022-02-23 00:00:00
01t000000000000019,SKU-0019,SAE - Digital - 7 EF,SAE,Digital,true,2022-04-09 00:00:00
01t000000000000020,SKU-0020,NSE - Digital - 4 EF,NSE,Digital,true,2022-01-11 00:00:00
01t000000000000021,SKU-0021,PGS - Digital - 8 EF,PGS,Digital,true,2023-03-15 00:00:00
01t000000000000022,SKU-0022,NSE - Kit Completo - 2 EF,NSE,Kit Completo,true,2022-12-14 00:00:00
01t000000000000023,SKU-0023,Isaac - Digital - 9 EF,Isaac,Digital,true,2022-12-03 00:00:00
01t000000000000024,SKU-0024,NSE - Impresso - 2 EF,NSE,Impresso,true,2022-04-16 00:00:00
01t000000000000025,SKU-0025,Isaac - Kit Completo - 3 EM,Isaac,Kit Completo,true,2022-03-11 00:00:00
01t000000000000026,SKU-0026,NSE - Impresso - 1 EM,NSE,Impresso,true,2022-05-10 00:00:00
01t000000000000027,SKU-0027,NSE - Digital - 6 EF,NSE,Digital,true,2023-03-08 00:00:00
01t000000000000028,SKU-0028,PGS - Kit Completo - 1 EM,PGS,Kit Completo,true,2023-04-01 00:00:00
01t000000000000029,SKU-0029,COC - Impresso - 3 EF,COC,Impresso,true,2022-02-15 00:00:00
01t000000000000030,SKU-0030,Isaac - Impresso - 5 EF,Isaac,Impresso,true,2023-03-23 00:00:00
01t000000000000031,SKU-0031,NSE - Kit Completo - 6 EF,NSE,Kit Completo,true,2022-11-15 00:00:00
01t000000000000032,SKU-0032,NSE - Kit Completo - 3 EF,NSE,Kit Completo,true,2022-05-31 00:00:00
01t000000000000033,SKU-0033,PGS - Digital - 1 EM,PGS,Digital,true,2022-12-18 00:00:00
01t000000000000034,SKU-0034,SAE - Digital - 1 EF,SAE,Digital,true,2023-06-15 00:00:00
01t000000000000035,SKU-0035,NSE - Kit Completo - 2 EM,NSE,Kit Completo,true,2022-05-29 00:00:00
01t000000000000036,SKU-0036,Isaac - Impresso - 9 EF,Isaac,Impresso,true,2022-02-25 00:00:00
01t000000000000037,SKU-0037,PGS - Digital - 4 EF,PGS,Digital,true,2022-07-25 00:00:00
01t000000000000038,SKU-0038,COC - Impresso - 6 EF,COC,Impresso,true,2022-07-13 00:00:00
01t000000000000039,SKU-0039,PGS - Kit Completo - 3 EM,PGS,Kit Completo,true,2023-04-24 00:00:00
01t000000000000040,SKU-0040,NSE - Kit Completo - 6 EF,NSE,Kit Completo,true,2022-12-10 00:00:00
01t000000000000041,SKU-0041,NSE - Digital - 7 EF,NSE,Digital,true,2022-12-03 00:00:00
01t000000000000042,SKU-0042,COC - Impresso - 8 EF,COC,Impresso,true,2022-02-13 00:00:00
01t000000000000043,SKU-0043,PGS - Impresso - 1 EF,PGS,Impresso,true,2022-08-17 00:00:00
01t000000000000044,SKU-0044,COC - Digital - 1 EM,COC,Digital,true,2022-08-07 00:00:00
01t000000000000045,SKU-0045,COC - Digital - 3 EM,COC,Digital,true,2022-12-06 00:00:00
01t000000000000046,SKU-0046,PGS - Impresso - 7 EF,PGS,Impresso,true,2022-07-08 00:00:00
01t000000000000047,SKU-0047,Isaac - Digital - 1 EF,Isaac,Digital,true,2022-03-17 00:00:00
