DocEntry,DocNum,CardCode,BaseEntry,DocDate,DocStatus,Cancelled,CreateDate
1,1,C00098,203,2025-07-08,C,N,2025-07-08
2,2,C00179,963,2023-04-18,O,N,2023-04-18
3,3,C00146,930,2024-11-18,C,N,2024-11-18
4,4,C00115,1182,2024-09-04,C,Y,2024-09-04
5,5,C00223,1693,2023-05-17,C,Y,2023-05-17
6,6,C00026,1542,2024-02-02,C,N,2024-02-02
7,7,C00265,776,2024-04-24,C,N,2024-04-24
8,8,C00223,419,2025-03-13,C,N,2025-03-13
9,9,C00218,1095,2023-12-28,C,N,2023-12-28
10,10,C00188,1778,2024-01-27,C,N,2024-01-27
11,11,C00170,587,2024-07-06,C,N,2024-07-06
12,12,C00018,1275,2024-11-20,C,N,2024-11-20
13,13,C00213,1331,2022-08-25,O,N,2022-08-25
14,14,C00233,1716,2025-12-26,C,N,2025-12-26
15,15,C00142,585,2024-02-19,C,N,2024-02-19
16,16,C00240,49,2024-08-24,C,N,2024-08-24
17,17,C00191,1133,2025-04-03,C,N,2025-04-03
18,18,C00152,1591,2022-05-27,O,N,2022-05-27
19,19,C00240,1786,2023-06-18,C,N,2023-06-18
20,20,C00201,1604,2022-07-21,C,N,2022-07-21
21,21,C00189,975,2022-08-08,C,N,2022-08-08
22,22,C00048,1002,2023-12-25,O,N,2023-12-25
23,23,C00029,324,2023-07-19,C,N,2023-07-19
24,24,C00052,1011,2024-09-14,C,N,2024-09-14
25,25,C00060,1328,2022-05-08,C,N,2022-05-08
26,26,C00007,976,2022-03-09,C,Y,2022-03-09
27,27,C00250,338,2025-10-20,C,N,2025-10-20
28,28,C00160,1103,2023-05-10,C,N,2023-05-10
29,29,C00132,54,2022-10-15,O,N,2022-10-15
30,30,C00190,1343,2024-07-17,C,N,2024-07-17
31,31,C00211,305,2023-11-20,O,N,2023-11-20
32,32,C00179,1073,2023-03-24,C,N,2023-03-24
33,33,C00054,986,2023-11-01,C,N,2023-11-01
34,34,C00219,1613,2025-02-03,O,N,2025-02-03
35,35,C00144,162,2025-07-05,O,N,2025-07-05
36,36,C00072,643,2023-10-05,C,N,2023-10-05
37,37,C00010,1,2023-09-17,O,N,2023-09-17
38,38,C00260,1770,2023-11-11,C,N,2023-11-11
39,39,C00020,1481,2023-11-15,C,N,2023-11-15
40,40,C00104,617,2025-07-25,O,N,2025-07-25
41,41,C00254,1787,2024-07-14,C,N,2024-07-14
42,42,C00148,810,2022-07-08,O,N,2022-07-08
43,43,C00030,555,2025-12-22,C,N,2025-12-22
44,44,C00118,116,2025-10-16,C,N,2025-10-16
45,45,C00153,1142,2022-07-29,C,N,2022-07-29
46,46,C00182,1767,2025-01-09,C,N,2025-01-09
47,47,C00191,1299,2024-03-04,C,N,2024-03-04
48,48,C00159,1171,2026-01-01,C,Y,2026-01-01
49,49,C00003,219,2022-06-21,C,N,2022-06-21
50,50,C00036,1023,2025-01-08,O,N,2025-01-08
51,51,C00199,510,2025-03-03,O,N,2025-03-03
52,52,C00020,928,2024-07-28,C,N,2024-07-28
53,53,C00206,242,2022-04-21,O,N,2022-04-21
54,54,C00008,1099,2023-10-25,C,N,2023-10-25
55,55,C00133,1137,2024-04-29,O,N,2024-04-29
56,56,C00041,727,2023-11-02,C,N,2023-11-02
57,57,C00257,968,2024-12-13,C,N,2024-12-13
58,58,C00113,1619,2022-12-31,C,N,2022-12-31
59,59,C00182,741,2024-05-24,O,N,2024-05-24
60,60,C00258,326,2022-06-24,C,N,2022-06-24
61,61,C00256,586,2024-02-15,C,N,2024-02-15
62,62,C00254,783,2023-06-26,C,N,2023-06-26
63,63,C00200,353,2025-07-07,C,N,2025-07-07
64,64,C00217,253,2025-08-29,C,N,2025-08-29
65,65,C00266,839,2023-08-27,C,N,2023-08-27
66,66,C00114,633,2025-03-10,C,N,2025-03-10
67,67,C00072,361,2024-04-20,C,N,2024-04-20
68,68,C00061,1405,2024-09-19,C,N,2024-09-19
69,69,C00229,76,2022-11-19,O,N,2022-11-19
70,70,C00153,1499,2024-05-21,O,N,2024-05-21
71,71,C00035,205,2023-10-14,C,N,2023-10-14
72,72,C00062,244,2025-06-09,C,N,2025-06-09
73,73,C00257,1782,2023-08-15,O,N,2023-08-15
74,74,C00176,1118,2025-03-23,C,N,2025-03-23
75,75,C00094,112,2025-03-28,C,N,2025-03-28
76,76,C00024,1743,2022-06-11,C,N,2022-06-11
77,77,C00172,370,2023-04-04,C,N,2023-04-04
78,78,C00012,1673,2024-07-21,C,N,2024-07-21
79,79,C00053,1487,2022-06-24,C,N,2022-06-24
80,80,C00225,1420,2023-07-06,C,N,2023-07-06
81,81,C00106,1305,2025-05-28,O,N,2025-05-28
82,82,C00143,703,2024-03-19,C,N,2024-03-19
83,83,C00256,544,2025-04-22,C,N,2025-04-22
84,84,C00023,1365,2024-11-29,C,N,2024-11-29
85,85,C00036,1212,2024-02-13,C,N,2024-02-13
86,86,C00158,1406,2024-02-20,C,N,2024-02-20
87,87,C00119,687,2023-09-26,C,N,2023-09-26
88,88,C00220,294,2024-03-11,C,N,2024-03-11
89,89,C00002,184,2025-06-21,O,N,2025-06-21
90,90,C00077,1584,2022-06-12,O,Y,2022-06-12
91,91,C00153,180,2024-12-02,O,N,2024-12-02
92,92,C00258,1409,2025-01-01,O,N,2025-01-01
93,93,C00155,301,2024-10-01,O,N,2024-10-01
94,94,C00022,247,2022-05-14,C,N,2022-05-14
95,95,C00048,1501,2024-04-03,C,N,2024-04-03
96,96,C00218,785,2024-04-25,C,N,2024-04-25
97,97,C00193,1244,2024-09-06,C,Y,2024-09-06
98,98,C00186,672,2025-05-03,C,N,2025-05-03
99,99,C00057,909,2023-10-03,C,N,2023-10-03
100,100,C00114,531,2026-02-22,C,N,2026-02-22
101,101,C00208,411,2024-08-27,C,N,2024-08-27
102,102,C00086,534,2024-09-30,C,N,2024-09-30
103,103,C00019,1213,2023-03-01,O,N,2023-03-01
104,104,C00241,236,2023-09-04,C,N,2023-09-04
105,105,C00153,1625,2025-07-05,C,N,2025-07-05
106,106,C00045,1765,2025-01-28,C,N,2025-01-28
107,107,C00099,1020,2024-03-25,C,N,2024-03-25
108,108,C00125,1228,2025-04-26,C,Y,2025-04-26
109,109,C00138,1453,2023-05-21,C,N,2023-05-21
110,110,C00070,1158,2023-04-22,C,N,2023-04-22
111,111,C00141,1715,2023-11-20,O,N,2023-11-20
112,112,C00025,1776,2022-05-19,C,N,2022-05-19
113,113,C00191,941,2022-08-22,O,N,2022-08-22
114,114,C00068,904,2025-03-22,C,N,2025-03-22
115,115,C00131,1281,2023-05-02,C,N,2023-05-02
116,116,C00192,100,2024-06-22,O,N,2024-06-22
117,117,C00041,222,2024-08-18,C,N,2024-08-18
