DocEntry,DocNum,CardCode,BaseEntry,DocDate,DocTotal,VatSum,Cancelled,CreateDate
1,1,C00098,203,2025-07-11,9917.52,605.39,N,2025-07-11
2,2,C00179,963,2023-04-20,40538.22,567.96,N,2023-04-20
3,3,C00146,930,2024-11-21,23193.39,1167.66,N,2024-11-21
6,6,C00026,1542,2024-02-03,6495.82,2729.44,N,2024-02-03
7,7,C00265,776,2024-04-26,28438.42,2120.63,N,2024-04-26
8,8,C00223,419,2025-03-15,33408.58,1620.45,N,2025-03-15
9,9,C00218,1095,2023-12-28,24214.04,2831.7,Y,2023-12-28
10,10,C00188,1778,2024-01-27,48681.33,2154.27,Y,2024-01-27
11,11,C00170,587,2024-07-09,44511.94,1725.25,N,2024-07-09
12,12,C00018,1275,2024-11-24,46356.64,1685.75,N,2024-11-24
13,13,C00213,1331,2022-08-27,14187.92,567.68,N,2022-08-27
14,14,C00233,1716,2025-12-29,6443.32,1341.88,N,2025-12-29
15,15,C00142,585,2024-02-20,11931.53,730.74,N,2024-02-20
16,16,C00240,49,2024-08-24,31215.57,2657.32,N,2024-08-24
17,17,C00191,1133,2025-04-04,49691.85,1281.29,N,2025-04-04
18,18,C00152,1591,2022-05-28,42834.79,3644.18,N,2022-05-28
19,19,C00240,1786,2023-06-19,45118.41,821.65,N,2023-06-19
20,20,C00201,1604,2022-07-25,24923.16,2949.8,N,2022-07-25
21,21,C00189,975,2022-08-09,8622.76,2861.78,N,2022-08-09
22,22,C00048,1002,2023-12-29,49348.33,305.93,N,2023-12-29
23,23,C00029,324,2023-07-24,49966.44,4350.41,N,2023-07-24
24,24,C00052,1011,2024-09-17,18161.42,1897.5,N,2024-09-17
25,25,C00060,1328,2022-05-12,12614.22,1338.2,N,2022-05-12
27,27,C00250,338,2025-10-24,2662.49,4421.12,N,2025-10-24
28,28,C00160,1103,2023-05-12,33876.69,3110.96,N,2023-05-12
29,29,C00132,54,2022-10-18,22964.69,164.13,N,2022-10-18
30,30,C00190,1343,2024-07-17,17680.92,1451.68,N,2024-07-17
31,31,C00211,305,2023-11-22,28536.05,3670.96,N,2023-11-22
32,32,C00179,1073,2023-03-25,34360.04,4204.87,N,2023-03-25
33,33,C00054,986,2023-11-02,21843.68,118.35,N,2023-11-02
34,34,C00219,1613,2025-02-07,8535.89,2191.79,N,2025-02-07
35,35,C00144,162,2025-07-10,1427.82,2535.94,N,2025-07-10
36,36,C00072,643,2023-10-07,28715.62,1289.35,N,2023-10-07
37,37,C00010,1,2023-09-18,40701.53,381.16,N,2023-09-18
38,38,C00260,1770,2023-11-12,14781.9,3077.27,N,2023-11-12
39,39,C00020,1481,2023-11-18,16601.3,1440.82,N,2023-11-18
40,40,C00104,617,2025-07-29,45412.49,4547.1,N,2025-07-29
41,41,C00254,1787,2024-07-17,34474.88,1125.29,N,2024-07-17
42,42,C00148,810,2022-07-08,43677.52,1441.96,N,2022-07-08
43,43,C00030,555,2025-12-22,36096.3,4221.76,N,2025-12-22
44,44,C00118,116,2025-10-21,18406.23,860.95,N,2025-10-21
45,45,C00153,1142,2022-08-01,36856.87,4165.82,N,2022-08-01
46,46,C00182,1767,2025-01-11,24515.03,1017.58,N,2025-01-11
47,47,C00191,1299,2024-03-06,8466.29,2004.73,N,2024-03-06
49,49,C00003,219,2022-06-26,48952.17,4929.89,N,2022-06-26
50,50,C00036,1023,2025-01-08,36417.9,4136.43,N,2025-01-08
51,51,C00199,510,2025-03-03,20218.56,2834.86,N,2025-03-03
52,52,C00020,928,2024-08-01,30653.1,3537.71,N,2024-08-01
53,53,C00206,242,2022-04-22,39442.62,482.1,N,2022-04-22
54,54,C00008,1099,2023-10-30,1909.48,2969.39,N,2023-10-30
55,55,C00133,1137,2024-05-03,5615.9,2473.05,N,2024-05-03
56,56,C00041,727,2023-11-03,11983.32,3460.08,N,2023-11-03
57,57,C00257,968,2024-12-13,42042.28,1496.36,N,2024-12-13
58,58,C00113,1619,2023-01-01,16312.01,4260.02,N,2023-01-01
59,59,C00182,741,2024-05-27,23790.82,1109.82,N,2024-05-27
60,60,C00258,326,2022-06-28,11416.48,2546.57,N,2022-06-28
61,61,C00256,586,2024-02-20,36615.83,1740.67,N,2024-02-20
62,62,C00254,783,2023-06-29,21643.8,4018.78,N,2023-06-29
63,63,C00200,353,2025-07-09,46601.33,945.14,N,2025-07-09
