DocEntry,DocNum,CardCode,NumAtCard,DocDate,DocDueDate,DocStatus,Cancelled,Comments,SlpCode,CreateDate,UpdateDate
1,1,C00010,ARCO-2022-00193,2023-08-21,2023-10-26,C,N,,16,2023-08-21,2023-09-09
2,2,C00003,ARCO-2023-00267,2025-03-09,2025-04-04,O,N,Urgente,16,2025-03-09,2025-04-03
3,3,C00002,ARCO-2022-00048,2025-07-09,2025-08-12,O,N,Urgente,20,2025-07-09,2025-07-15
4,4,C00234,ARCO-2022-00298,2025-03-28,2025-06-09,C,Y,,6,2025-03-28,2025-04-14
5,5,C00173,ARCO-2025-00043,2025-01-26,2025-04-05,C,N,Urgente,10,2025-01-26,2025-02-02
6,6,C00021,ARCO-2023-00306,2025-04-22,2025-07-11,C,N,,8,2025-04-22,2025-05-05
7,7,C00061,,2023-05-16,2023-07-27,O,N,Reposição,7,2023-05-16,2023-06-13
8,8,C00044,ARCO-2022-00340,2025-08-15,2025-10-16,C,N,,2,2025-08-15,2025-09-08
9,9,C00159,ARCO-2025-00010,2023-06-17,2023-07-03,O,N,,3,2023-06-17,2023-07-11
10,10,C00123,ARCO - 2024 - 00211,2024-02-08,2024-05-06,C,N,,17,2024-02-08,2024-02-26
11,11,C00140,,2024-06-03,2024-08-13,O,N,,5,2024-06-03,2024-06-04
12,12,C00071,ARCO-2022-00330,2022-10-13,2023-01-05,O,N,,11,2022-10-13,2022-11-11
13,13,C00071,ARCO-2025-00263,2023-08-15,2023-08-30,O,N,Urgente,11,2023-08-15,2023-08-19
14,14,C00018,ARCO-2023-00257,2024-10-14,2024-12-01,C,N,Urgente,11,2024-10-14,2024-10-21
15,15,C00184,ARCO-2025-00099,2022-11-24,2023-01-06,C,N,,23,2022-11-24,2022-11-24
16,16,C00151, ARCO-2025-00318,2022-10-13,2023-01-06,C,N,,17,2022-10-13,2022-11-03
17,17,C00215,,2025-07-10,2025-08-16,C,N,,21,2025-07-10,2025-07-19
18,18,C00204, ARCO-2022-00017,2022-12-21,2023-02-02,O,N,Urgente,25,2022-12-21,2022-12-21
19,19,C00028,ARCO-2022-00288,2022-10-21,2023-01-02,C,Y,Pedido complementar,5,2022-10-21,2022-11-18
20,20,C00090,ARCO-2023-00066,2025-07-08,2025-09-15,O,N,,2,2025-07-08,2025-07-08
21,21,C00136,,2024-02-06,2024-02-22,C,N,Urgente,22,2024-02-06,2024-03-01
22,22,C00167,ARCO-2025-00375,2023-06-14,2023-08-07,C,N,,22,2023-06-14,2023-07-04
23,23,C00091,,2024-06-19,2024-08-26,O,N,,18,2024-06-19,2024-07-01
24,24,C00013,ARCO-2024-00046,2022-01-15,2022-03-17,C,N,Pedido complementar,1,2022-01-15,2022-01-21
25,25,C00159,ARCO-2022-00077,2023-12-18,2024-03-13,C,N,Urgente,3,2023-12-18,2024-01-04
26,26,C00087,ARCO-2024-00163,2025-10-23,2025-11-23,C,N,,13,2025-10-23,2025-11-04
27,27,C00232,,2024-11-09,2025-01-13,C,N,Urgente,6,2024-11-09,2024-12-08
28,28,C00180,,2024-03-30,2024-05-03,O,N,,1,2024-03-30,2024-04-29
29,29,C00227,,2024-04-17,2024-07-10,C,N,,9,2024-04-17,2024-05-12
30,30,C00151,ARCO-2025-00042,2025-03-30,2025-04-21,O,N,,17,2025-03-30,2025-04-12
31,31,C00056,,2023-09-14,2023-12-02,C,N,,9,2023-09-14,2023-09-18
32,32,C00065,ARCO-2023-00140,2023-09-22,2023-10-13,C,N,Pedido complementar,17,2023-09-22,2023-10-16
33,33,C00194,ARCO-2024-00057,2023-11-20,2024-01-29,C,N,,14,2023-11-20,2023-11-25
34,34,C00183,ARCO-2025-00089 ,2025-09-13,2025-11-02,C,N,,9,2025-09-13,2025-10-07
35,35,C00064,ARCO-2023-00364,2023-02-05,2023-04-30,C,N,,6,2023-02-05,2023-02-19
36,36,C00128,ARCO-2025-00343,2023-09-21,2023-11-03,C,N,,11,2023-09-21,2023-10-07
37,37,C00261,,2022-05-13,2022-08-03,C,N,Urgente,22,2022-05-13,2022-05-30
