DocEntry,LineNum,ItemCode,ItemName,Quantity,DelivrdQty,OpenQty,ShipDate,LineStatus,Price,LineTotal
1,0,SKU-0057,Material PGS 9 EF,246,216,30,2023-10-10,O,162.04,39861.84
1,1,SKU-0014,Material COC 9 EF,173,27,146,2023-09-03,O,188.44,32600.12
2,0,SKU-0004,Material PGS 4 EF,121,5,116,2025-04-25,O,32.15,3890.15
2,1,SKU-0060,Material PGS 6 EF,81,54,27,2025-04-29,O,288.06,23332.86
2,2,SKU-0011,Material NSE 2 EM,155,141,14,2025-04-14,O,53.77,8334.35
3,0,SKU-0027,Material COC 4 EF,246,61,185,2025-08-06,O,96.78,23807.88
3,1,SKU-0051,Material PGS 9 EF,104,104,0,2025-08-12,C,119.04,12380.16
3,2,SKU-0027,Material COC 6 EF,155,16,139,2025-08-09,O,103.07,15975.85
4,0,SKU-0049,Material Isaac 9 EF,248,52,196,2025-04-27,O,292.4,72515.2
5,0,SKU-0025,Material SAE 3 EM,65,63,2,2025-03-02,O,179.29,11653.85
5,1,SKU-0027,Material Isaac 1 EF,299,296,3,2025-03-03,O,111.62,33374.38
5,2,SKU-0012,Material NSE 7 EF,127,114,13,2025-03-24,O,108.14,13733.78
6,0,SKU-0011,Material COC 3 EF,274,71,203,2025-05-07,O,22.44,6148.56
6,1,SKU-0059,Material NSE 2 EM,176,67,109,2025-05-23,O,118.88,20922.88
6,2,SKU-0015,Material PGS 7 EF,198,50,148,2025-05-31,O,199.53,39506.94
7,0,SKU-0020,Material COC 1 EF,33,18,15,2023-06-04,O,282.0,9306.0
7,1,SKU-0015,Material PGS 3 EF,104,60,44,2023-05-28,O,172.63,17953.52
7,2,SKU-0050,Material COC 6 EF,101,18,83,2023-06-02,O,24.52,2476.52
7,3,SKU-0011,Material NSE 2 EM,86,85,1,2023-06-07,O,189.71,16315.06
8,0,SKU-0020,Material NSE 7 EF,26,21,5,2025-10-06,O,284.37,7393.62
8,1,SKU-0044,Material NSE 6 EF,78,3,75,2025-09-23,O,245.47,19146.66
8,2,SKU-0014,Material SAE 8 EF,111,69,42,2025-09-23,O,170.78,18956.58
9,0,SKU-0029,Material NSE 3 EF,244,6,238,2023-06-30,O,286.25,69845.0
9,1,SKU-0020,Material NSE 4 EF,169,110,59,2023-07-22,O,125.64,21233.16
9,2,SKU-0037,Material SAE 4 EF,230,209,21,2023-06-27,O,210.4,48392.0
9,3,SKU-0058,Material Isaac 9 EF,275,81,194,2023-08-09,O,228.15,62741.25
10,0,SKU-0011,Material NSE 8 EF,181,85,96,2024-04-08,O,197.3,35711.3
10,1,SKU-0014,Material COC 6 EF,104,72,32,2024-04-06,O,258.08,26840.32
10,2,SKU-0020,Material PGS 9 EF,239,40,199,2024-03-20,O,88.61,21177.79
11,0,SKU-0030,Material COC 4 EF,94,7,87,2024-07-29,O,210.97,19831.18
11,1,SKU-0007,Material Isaac 6 EF,133,64,69,2024-07-10,O,136.53,18158.49
11,2,SKU-0025,Material Isaac 9 EF,61,19,42,2024-07-21,O,224.08,13668.88
11,3,SKU-0053,Material NSE 7 EF,34,32,2,2024-07-08,O,67.27,2287.18
11,4,SKU-0018,Material SAE 1 EM,276,241,35,2024-07-22,O,290.75,80247.0
12,0,SKU-0028,Material NSE 3 EM,19,19,0,2022-11-15,C,43.35,823.65
12,1,SKU-0018,Material Isaac 9 EF,175,22,153,2022-11-06,O,206.82,36193.5
12,2,SKU-0035,Material Isaac 2 EF,286,120,166,2022-10-29,O,172.45,49320.7
13,0,SKU-0009,Material COC 8 EF,107,53,54,2023-10-01,O,39.07,4180.49
13,1,SKU-0036,Material Isaac 2 EF,262,126,136,2023-10-04,O,291.52,76378.24
13,2,SKU-0007,Material NSE 6 EF,90,3,87,2023-08-29,O,127.96,11516.4
13,3,SKU-0007,Material SAE 3 EF,102,80,22,2023-09-03,O,87.33,8907.66
14,0,SKU-0044,Material COC 2 EM,47,15,32,2024-11-18,O,198.4,9324.8
14,1,SKU-0006,Material COC 8 EF,44,0,44,2024-11-30,O,174.93,7696.92
15,0,SKU-0031,Material COC 1 EF,103,70,33,2023-01-11,O,276.24,28452.72
16,0,SKU-0016,Material Isaac 2 EM,103,77,26,2022-10-24,O,271.32,27945.96
17,0,SKU-0001,Material Isaac 3 EM,258,204,54,2025-08-25,O,215.3,55547.4
17,1,SKU-0049,Material Isaac 8 EF,12,10,2,2025-08-26,O,198.88,2386.56
17,2,SKU-0019,Material SAE 9 EF,202,54,148,2025-09-06,O,68.77,13891.54
17,3,SKU-0059,Material PGS 2 EF,132,55,77,2025-09-08,O,261.88,34568.16
18,0,SKU-0040,Material Isaac 2 EF,47,46,1,2023-01-31,O,105.24,4946.28
18,1,SKU-0029,Material Isaac 3 EF,248,14,234,2023-02-14,O,213.19,52871.12
18,2,SKU-0004,Material Isaac 1 EM,257,95,162,2023-01-02,O,256.25,65856.25
19,0,SKU-0041,Material NSE 2 EM,276,311,0,2022-12-16,C,76.59,21138.84
19,1,SKU-0043,Material Isaac 1 EF,68,26,42,2022-11-10,O,51.71,3516.28
20,0,SKU-0009,Material SAE 3 EF,119,89,30,2025-07-22,O,172.99,20585.81
20,1,SKU-0003,Material COC 2 EF,240,92,148,2025-07-27,O,203.55,48852.0
20,2,SKU-0047,Material SAE 3 EF,122,55,67,2025-08-16,O,177.92,21706.24
21,0,SKU-0007,Material Isaac 7 EF,120,49,71,2024-03-18,O,210.3,25236.0
21,1,SKU-0030,Material NSE 7 EF,238,28,210,2024-03-14,O,296.42,70547.96
21,2,SKU-0022,Material COC 9 EF,79,0,79,2024-02-27,O,109.56,8655.24
21,3,SKU-0015,Material Isaac 3 EF,213,193,20,2024-02-26,O,141.05,30043.65
21,4,SKU-0044,Material SAE 4 EF,97,73,24,2024-03-06,O,43.43,4212.71
22,0,SKU-0005,Material NSE 9 EF,154,3,151,2023-07-17,O,241.74,37227.96
23,0,SKU-0051,Material SAE 1 EF,48,21,27,2024-06-30,O,145.26,6972.48
23,1,SKU-0027,Material PGS 8 EF,280,163,117,2024-07-09,O,173.37,48543.6
23,2,SKU-0029,Material NSE 8 EF,41,31,10,2024-07-31,O,90.14,3695.74
24,0,SKU-0042,Material PGS 7 EF,13,11,2,2022-02-08,O,298.93,3886.09
25,0,SKU-0021,Material Isaac 2 EF,160,86,74,2024-01-29,O,85.04,13606.4
25,1,SKU-0039,Material PGS 4 EF,264,226,38,2024-01-07,O,147.28,38881.92
25,2,SKU-0045,Material NSE 4 EF,80,72,8,2023-12-29,O,52.99,4239.2
26,0,SKU-0053,Material COC 5 EF,15,2,13,2025-12-20,O,64.14,962.1
26,1,SKU-0005,Material NSE 1 EM,24,6,18,2025-11-26,O,169.57,4069.68
27,0,SKU-0005,Material Isaac 2 EM,196,216,0,2024-11-21,C,132.34,25938.64
28,0,SKU-0030,Material Isaac 2 EM,149,121,28,2024-04-13,O,221.32,32976.68
28,1,SKU-0059,Material NSE 9 EF,211,90,121,2024-05-07,O,178.69,37703.59
28,2,SKU-0058,Material SAE 1 EF,217,161,56,2024-05-21,O,45.08,9782.36
28,3,SKU-0020,Material NSE 2 EM,239,154,85,2024-04-10,O,106.21,25384.19
29,0,SKU-0059,Material Isaac 2 EF,136,133,3,2024-05-04,O,181.71,24712.56
30,0,SKU-0030,Material PGS 7 EF,181,127,54,2025-05-29,O,214.66,38853.46
30,1,SKU-0026,Material Isaac 2 EF,46,21,25,2025-04-17,O,95.03,4371.38
30,2,SKU-0028,Material SAE 6 EF,257,78,179,2025-05-29,O,46.48,11945.36
31,0,SKU-0009,Material COC 2 EM,257,238,19,2023-11-11,O,243.59,62602.63
32,0,SKU-0020,Material PGS 9 EF,294,340,0,2023-10-24,C,288.03,84680.82
32,1,SKU-0013,Material COC 1 EF,93,84,9,2023-10-10,O,110.33,10260.69
33,0,SKU-0018,Material NSE 1 EM,190,164,26,2024-01-13,O,71.12,13512.8
33,1,SKU-0032,Material COC 8 EF,294,120,174,2023-12-23,O,218.45,64224.3
33,2,SKU-0022,Material PGS 2 EM,97,24,73,2023-12-13,O,196.01,19012.97
33,3,SKU-0040,Material COC 1 EM,18,8,10,2023-12-01,O,270.4,4867.2
33,4,SKU-0052,Material NSE 5 EF,267,216,51,2023-12-12,O,219.88,58707.96
34,0,SKU-0016,Material NSE 9 EF,156,68,88,2025-10-01,O,209.65,32705.4
34,1,SKU-0009,Material COC 1 EM,129,100,29,2025-11-12,O,209.57,27034.53
34,2,SKU-0026,Material COC 3 EF,49,35,14,2025-10-19,O,205.22,10055.78
34,3,SKU-0055,Material SAE 1 EF,252,249,3,2025-10-07,O,252.52,63635.04
35,0,SKU-0016,Material SAE 1 EF,90,13,77,2023-03-13,O,138.76,12488.4
35,1,SKU-0045,Material COC 5 EF,69,17,52,2023-02-20,O,124.83,8613.27
