id_item,id_pedido,cod_produto,desc_produto,qtd_pedida,preco_unitario,dt_criacao
1,1,SKU-0044,Material COC 3 EF,196,107.61,2022-05-09 00:00:00
2,1,SKU-0030,Material NSE 1 EF,29,89.36,2022-05-09 00:00:00
3,1,SKU-0908,Material COC 6 EF,26,126.55,2022-05-09 00:00:00
4,2,SKU-0025,Material PGS 3 EF,197,153.39,2025-09-18 00:00:00
5,3,SKU-0904,Material COC 4 EF,38,160.31,2022-04-09 00:00:00
6,3,SKU-0053,Material PGS 1 EM,85,151.32,2022-04-09 00:00:00
7,3,SKU-0012,Material NSE 5 EF,129,92.83,2022-04-09 00:00:00
8,3,SKU-0005,Material PGS 7 EF,31,67.08,2022-04-09 00:00:00
9,4,SKU-0020,Material COC 4 EF,24,199.93,2023-12-18 00:00:00
10,4,SKU-0052,Material PGS 1 EF,17,112.57,2023-12-18 00:00:00
11,5,SKU-0900,Material SAE 3 EM,97,158.32,2024-05-13 00:00:00
12,5,SKU-0045,Material SAE 4 EF,77,205.48,2024-05-13 00:00:00
13,6,SKU-0903,Material Isaac 6 EF,158,216.99,2023-10-02 00:00:00
14,6,SKU-0032,Material NSE 2 EM,19,232.66,2023-10-02 00:00:00
15,7,SKU-0056,Material NSE 8 EF,163,92.01,2024-11-17 00:00:00
16,8,SKU-0027,Material SAE 5 EF,15,125.42,2022-08-06 00:00:00
17,8,SKU-0044,Material NSE 4 EF,178,173.39,2022-08-06 00:00:00
18,9,SKU-0045,Material COC 3 EF,34,221.34,2023-05-04 00:00:00
19,10,SKU-0052,Material PGS 1 EF,58,231.26,2022-09-10 00:00:00
20,11,SKU-0908,Material NSE 3 EF,32,99.76,2024-09-30 00:00:00
21,11,SKU-0010,Material NSE 8 EF,144,47.21,2024-09-30 00:00:00
22,11,SKU-0901,Material SAE 2 EM,95,50.93,2024-09-30 00:00:00
23,11,SKU-0058,Material SAE 2 EF,82,111.56,2024-09-30 00:00:00
24,12,SKU-0060,Material NSE 1 EF,74,236.21,2023-02-05 00:00:00
25,12,SKU-0904,Material Isaac 7 EF,108,108.07,2023-02-05 00:00:00
26,12,SKU-0037,Material NSE 2 EM,145,228.12,2023-02-05 00:00:00
27,13,SKU-0030,Material Isaac 1 EF,97,73.14,2022-04-27 00:00:00
28,13,SKU-0032,Material NSE 8 EF,146,121.7,2022-04-27 00:00:00
29,13,SKU-0013,Material SAE 7 EF,109,79.25,2022-04-27 00:00:00
30,14,SKU-0019,Material SAE 4 EF,24,29.29,2023-05-03 00:00:00
31,15,SKU-0015,Material Isaac 8 EF,118,85.15,2022-07-19 00:00:00
32,15,SKU-0050,Material Isaac 5 EF,104,138.2,2022-07-19 00:00:00
33,16,SKU-0051,Material NSE 1 EF,103,177.82,2022-05-18 00:00:00
34,16,SKU-0013,Material NSE 2 EM,132,83.09,2022-05-18 00:00:00
35,16,SKU-0029,Material NSE 8 EF,142,63.2,2022-05-18 00:00:00
36,16,SKU-0904,Material Isaac 9 EF,98,128.84,2022-05-18 00:00:00
37,17,SKU-0901,Material NSE 8 EF,24,226.66,2025-12-01 00:00:00
38,17,SKU-0058,Material Isaac 5 EF,193,214.35,2025-12-01 00:00:00
39,17,SKU-0019,Material PGS 3 EM,100,174.53,2025-12-01 00:00:00
40,18,SKU-0048,Material SAE 4 EF,159,180.18,2022-01-17 00:00:00
41,18,SKU-0038,Material Isaac 8 EF,177,181.87,2022-01-17 00:00:00
42,18,SKU-0037,Material COC 2 EM,88,71.64,2022-01-17 00:00:00
43,18,SKU-0023,Material SAE 1 EF,15,146.69,2022-01-17 00:00:00
44,19,SKU-0906,Material NSE 7 EF,81,45.29,2023-05-21 00:00:00
45,20,SKU-0024,Material SAE 1 EM,46,65.85,2022-08-21 00:00:00
46,20,SKU-0055,Material COC 3 EM,16,99.21,2022-08-21 00:00:00
47,20,SKU-0054,Material COC 5 EF,186,208.31,2022-08-21 00:00:00
48,21,SKU-0042,Material COC 1 EM,83,203.98,2024-10-28 00:00:00
49,21,SKU-0038,Material Isaac 3 EF,142,210.42,2024-10-28 00:00:00
50,21,SKU-0054,Material SAE 3 EF,71,248.59,2024-10-28 00:00:00
51,21,SKU-0054,Material COC 8 EF,127,54.08,2024-10-28 00:00:00
52,22,SKU-0038,Material NSE 3 EM,17,137.28,2023-12-10 00:00:00
53,23,SKU-0052,Material NSE 1 EM,72,176.74,2024-07-22 00:00:00
54,23,SKU-0021,Material SAE 5 EF,159,21.02,2024-07-22 00:00:00
55,23,SKU-0038,Material SAE 1 EF,17,36.0,2024-07-22 00:00:00
56,23,SKU-0014,Material SAE 3 EM,94,52.24,2024-07-22 00:00:00
57,24,SKU-0028,Material Isaac 3 EM,20,239.69,2023-03-22 00:00:00
58,25,SKU-0034,Material Isaac 8 EF,109,210.42,2025-06-02 00:00:00
59,25,SKU-0032,Material SAE 9 EF,34,174.48,2025-06-02 00:00:00
60,25,SKU-0005,Material SAE 3 EM,163,160.6,2025-06-02 00:00:00
61,25,SKU-0044,Material PGS 2 EM,188,222.84,2025-06-02 00:00:00
62,26,SKU-0049,Material Isaac 1 EF,145,39.08,2023-09-19 00:00:00
63,26,SKU-0038,Material Isaac 8 EF,28,78.21,2023-09-19 00:00:00
64,27,SKU-0008,Material PGS 4 EF,115,80.36,2025-09-19 00:00:00
65,27,SKU-0046,Material Isaac 2 EF,197,212.35,2025-09-19 00:00:00
66,27,SKU-0037,Material Isaac 1 EM,195,179.32,2025-09-19 00:00:00
67,28,SKU-0906,Material SAE 4 EF,87,221.37,2022-09-25 00:00:00
68,29,SKU-0009,Material NSE 6 EF,65,168.37,2024-09-17 00:00:00
69,29,SKU-0048,Material PGS 2 EM,122,38.42,2024-09-17 00:00:00
70,30,SKU-0031,Material COC 3 EF,115,97.8,2024-12-09 00:00:00
71,30,SKU-0032,Material COC 4 EF,48,122.08,2024-12-09 00:00:00
72,30,SKU-0059,Material Isaac 3 EF,163,47.78,2024-12-09 00:00:00
73,31,SKU-0006,Material COC 7 EF,171,218.76,2025-02-15 00:00:00
74,31,SKU-0051,Material COC 7 EF,103,52.48,2025-02-15 00:00:00
75,31,SKU-0037,Material Isaac 3 EF,149,43.62,2025-02-15 00:00:00
76,32,SKU-0033,Material SAE 1 EM,65,23.42,2025-07-25 00:00:00
77,32,SKU-0049,Material SAE 2 EM,139,91.95,2025-07-25 00:00:00
78,33,SKU-0011,Material COC 3 EM,190,63.19,2022-05-30 00:00:00
79,33,SKU-0008,Material NSE 5 EF,133,36.38,2022-05-30 00:00:00
80,33,SKU-0019,Material NSE 1 EM,100,107.38,2022-05-30 00:00:00
81,34,SKU-0909,Material NSE 3 EM,82,199.0,2022-10-31 00:00:00
82,34,SKU-0015,Material PGS 3 EM,100,159.39,2022-10-31 00:00:00
83,35,SKU-0017,Material COC 2 EF,159,186.11,2025-05-23 00:00:00
84,36,SKU-0022,Material SAE 3 EM,111,90.66,2022-09-24 00:00:00
85,36,SKU-0060,Material SAE 2 EF,186,195.62,2022-09-24 00:00:00
86,36,SKU-0060,Material SAE 2 EF,70,38.38,2022-09-24 00:00:00
87,37,SKU-0904,Material PGS 9 EF,170,141.12,2025-01-08 00:00:00
88,38,SKU-0040,Material NSE 9 EF,113,228.77,2023-11-22 00:00:00
89,38,SKU-0040,Material COC 5 EF,99,62.1,2023-11-22 00:00:00
90,39,SKU-0019,Material PGS 9 EF,86,240.65,2025-12-13 00:00:00
91,39,SKU-0001,Material Isaac 9 EF,30,132.32,2025-12-13 00:00:00
92,39,SKU-0027,Material NSE 8 EF,148,126.34,2025-12-13 00:00:00
93,40,SKU-0005,Material NSE 6 EF,79,178.34,2022-05-28 00:00:00
94,41,SKU-0024,Material SAE 8 EF,39,190.16,2023-11-06 00:00:00
95,41,SKU-0046,Material PGS 1 EM,27,85.96,2023-11-06 00:00:00
96,42,SKU-0036,Material PGS 2 EM,107,23.14,2023-07-30 00:00:00
97,42,SKU-0908,Material SAE 6 EF,46,65.14,2023-07-30 00:00:00
98,42,SKU-0058,Material Isaac 1 EF,121,47.15,2023-07-30 00:00:00
