id_pedido,id_escola,num_contrato,dt_pedido,dt_entrega_prevista,status,id_vendedor,dt_criacao,dt_atualizacao
1,218,ARCO-2024-00344,2022-05-09,2022-07-16,C,3,2022-05-09 00:00:00,2022-06-05 00:00:00
2,238,,2025-09-17,2025-10-27,E,5,2025-09-18 00:00:00,2025-10-02 00:00:00
3,239,,2022-04-09,2022-06-27,IN_PROGRESS,18,2022-04-09 00:00:00,2022-05-18 00:00:00
4,124,Arco-2023-00355,2023-12-18,2024-01-17,cancelado,17,2023-12-18 00:00:00,2024-01-02 00:00:00
5,7,ARCO-2025-00311,2024-05-12,2024-07-03,cancelled,3,2024-05-13 00:00:00,2024-07-03 00:00:00
6,165,,2023-10-02,2023-11-27,pending,20,2023-10-02 00:00:00,2023-10-27 00:00:00
7,94,ARCO-2022-00192,2024-11-16,2025-01-14,cancelado,19,2024-11-17 00:00:00,2024-12-07 00:00:00
8,150,ARCO-2025-00079,2022-08-06,2022-09-21,cancelado,9,2022-08-06 00:00:00,2022-08-17 00:00:00
9,72,ARCO-2023-00102,2023-05-03,2023-06-10,pendente,19,2023-05-04 00:00:00,2023-06-15 00:00:00
10,55,ARCO-2022-00336,2022-09-09,2022-10-07,A,15,2022-09-10 00:00:00,2022-11-01 00:00:00
11,19,ARCO-2025-00157,2024-09-30,2024-11-27,IN_PROGRESS,5,2024-09-30 00:00:00,2024-11-23 00:00:00
12,242,ARCO-2022-00243,2023-02-04,2023-03-17,P,16,2023-02-05 00:00:00,2023-02-21 00:00:00
13,115,ARCO-2023-00205,2022-04-27,2022-06-23,delivered,14,2022-04-27 00:00:00,2022-06-19 00:00:00
14,190,ARCO-2025-00363,2023-05-02,2023-07-29,P,10,2023-05-03 00:00:00,2023-05-24 00:00:00
15,13,ARCO-2025-00122,2022-07-18,2022-09-17,A,10,2022-07-19 00:00:00,2022-08-12 00:00:00
16,33,,2022-05-17,2022-07-13,entregue,9,2022-05-18 00:00:00,2022-06-18 00:00:00
17,129,,2025-12-01,2026-01-13,P,8,2025-12-01 00:00:00,2026-01-16 00:00:00
18,188,,2022-01-16,2022-03-24,C,9,2022-01-17 00:00:00,2022-03-12 00:00:00
19,100,ARCO-2025-00042,2023-05-20,2023-07-17,IN_PROGRESS,14,2023-05-21 00:00:00,2023-07-18 00:00:00
20,62,,2022-08-21,2022-11-16,IN_PROGRESS,20,2022-08-21 00:00:00,2022-10-06 00:00:00
21,246,,2024-10-28,2024-12-13,pending,4,2024-10-28 00:00:00,2024-11-29 00:00:00
22,138,ARCO-2025-00185,2023-12-09,2024-01-03,IN_PROGRESS,14,2023-12-10 00:00:00,2023-12-22 00:00:00
23,133,ARCO-2023-00275,2024-07-21,2024-10-03,delivered,6,2024-07-22 00:00:00,2024-08-27 00:00:00
24,89,,2023-03-21,2023-05-16,C,16,2023-03-22 00:00:00,2023-04-03 00:00:00
