id_nf,numero_nf,serie_nf,id_pedido_erp_b,cnpj_cliente,nome_cliente,dt_emissao,valor_total,valor_impostos,cnpj_transportadora,nome_transportadora,codigo_rastreio,dt_prevista_entrega,dt_entrega_real,status_entrega,qtd_entregue,dt_criacao
1,NF-000001,3,346,45.494.808/3136-78,Lopes Instituto,2022-12-28,12794.57,4564.1,07901319850452,Braspress,1R8B9453YCLSS,2023-01-06,,aguardando_coleta,135,2022-12-28 00:00:00
2,NF-000002,1,800,98.169.340/6088-35,Azevedo,2024-01-30,24505.66,3138.66,07901319850452,Braspress,Q8FKPA4E7IAJY,2024-02-04,,extraviado,207,2024-01-31 00:00:00
3,NF-000003,2,972,94522885158799,Lima Centro Educacional,2025-07-28,12385.71,1458.12,55481244322208,Correios,AEHLY9VQO8FC1,2025-08-12,,em_transito,95,2025-07-28 00:00:00
4,NF-000004,2,1163,21.699.586/6934-65,Barbosa Instituto,2023-08-25,39184.21,2553.63,07901319850452,Braspress,KMZVOW0AS0I38,2023-09-03,,em_transito,110,2023-08-25 00:00:00
5,NF-000005,2,412,94.717.464/8877-19,Azevedo,2024-02-25,10567.65,1527.9,77546296934721,Jadlog,QTXFGMVNF8DQ1,2024-03-13,,em_transito,68,2024-02-25 00:00:00
6,NF-000006,2,645,29668516122753,Pinto Colégio,2024-06-29,24863.52,4688.26,50842145100973,Total Express,EDK3KPQJC2NDD,2024-07-13,,devolvido,12,2024-06-30 00:00:00
7,NF-000007,1,949,18.644.925/1925-46,Sá Escola,2023-05-09,31852.52,1353.73,07901319850452,Braspress,8CWAO7TS0N5VI,2023-05-14,,devolvido,27,2023-05-10 00:00:00
8,NF-000008,2,65,58.657.809/1343-16,Farias Escola,2024-08-07,25228.48,1656.76,55481244322208,Correios,UEHOPEYVXHPO3,2024-08-17,,aguardando_coleta,4,2024-08-07 00:00:00
9,NF-000009,1,227,87.083.172/7889-57,Souza Centro Educacional,2025-05-01,10495.09,4959.13,77546296934721,Jadlog,MRX4KAAYNM0ND,2025-05-21,,extraviado,30,2025-05-02 00:00:00
10,NF-000010,1,917,71.012.269/1669-78,Pastor,2024-03-31,22751.1,910.9,55481244322208,Correios,CJQLMOM3IO6XS,2024-04-10,2024-04-18,entregue,325,2024-03-31 00:00:00
11,NF-000011,3,889,17.381.684/6022-35,Sampaio Colégio,2022-01-21,11302.32,134.19,52000633388700,Sequoia Log,GQ9I046DPUWOF,2022-02-04,,extraviado,91,2022-01-21 00:00:00
12,NF-000012,1,428,07.903.067/3830-28,da Instituto,2022-04-02,13022.85,3774.95,52000633388700,Sequoia Log,6QEAYDM18FDSW,2022-04-21,2022-04-16,entregue,147,2022-04-02 00:00:00
13,NF-000013,1,166,42.087.375/3001-19,Barros Centro Educacional,2022-08-10,1915.63,2182.32,55481244322208,Correios,GNOUVA2UTF1AS,2022-08-24,,devolvido,66,2022-08-10 00:00:00
14,NF-000014,1,1198,10.512.382/8258-67,Azevedo Leão - ME,2024-10-28,22856.51,4877.77,52000633388700,Sequoia Log,O20XNCA6DPV3B,2024-11-09,,em_transito,147,2024-10-29 00:00:00
15,NF-000015,3,844,07.903.067/3830-28,da Instituto,2025-05-02,41441.98,905.38,07901319850452,Braspress,8U03EZ2FAXQOS,2025-05-10,2025-05-11,entregue,247,2025-05-02 00:00:00
16,NF-000016,1,148,09.130.756/2636-89,Alves Escola,2023-11-19,28703.12,4832.4,07901319850452,Braspress,CPE9PYOU00NCV,2023-11-24,,devolvido,45,2023-11-20 00:00:00
17,NF-000017,1,405,14.562.328/5884-24,Jesus,2023-10-08,14029.62,3921.72,50842145100973,Total Express,IA8095J5M8O9R,2023-10-20,,em_transito,58,2023-10-09 00:00:00
18,NF-000018,3,1072,76936763201632,Souza Novais - EI,2025-09-01,6602.77,4081.74,52000633388700,Sequoia Log,7SABQDKNN3S1N,2025-09-13,,aguardando_coleta,283,2025-09-01 00:00:00
19,NF-000019,1,805,59.910.229/0147-67,da Colégio,2024-03-08,40704.21,3362.79,52000633388700,Sequoia Log,9S0WJMHMASKOZ,2024-03-15,2024-04-04,entregue,47,2024-03-09 00:00:00
20,NF-000020,1,1169,35.408.386/6317-79,da Luz Ribeiro S/A,2023-04-01,21517.85,1361.74,50842145100973,Total Express,49E1KO78J9TVE,2023-04-15,,em_transito,11,2023-04-02 00:00:00
21,NF-000021,1,126,27.849.808/4124-11,Castro,2023-09-23,48286.69,170.67,52000633388700,Sequoia Log,AV0M6JUQG2441,2023-10-01,2023-09-26,entregue,330,2023-09-24 00:00:00
22,NF-000022,2,775,67.528.953/9264-42,Duarte,2023-12-30,21423.17,86.0,52000633388700,Sequoia Log,OWB3X765411OK,2024-01-10,,em_transito,13,2023-12-31 00:00:00
23,NF-000023,2,41,03.397.401/4890-25,Sampaio Centro Educacional,2023-11-17,29313.74,1569.83,07901319850452,Braspress,HNELXYB9NDZ2E,2023-12-06,2023-12-01,entregue,66,2023-11-18 00:00:00
24,NF-000024,1,239,73.158.514/9368-99,da Colégio,2025-01-11,29698.91,4183.57,55481244322208,Correios,AVJO5UQ4HMWTH,2025-01-25,,devolvido,409,2025-01-11 00:00:00
25,NF-000025,1,1023,37.575.844/1986-65,Peixoto - ME,2022-10-05,2456.9,3521.46,07901319850452,Braspress,5OU707GD8R31F,2022-10-18,,devolvido,33,2022-10-05 00:00:00
26,NF-000026,1,622,59.856.420/5930-40,Lopes Instituto,2024-04-03,10725.47,1179.0,52000633388700,Sequoia Log,JHP6E30130X30,2024-04-13,,aguardando_coleta,180,2024-04-04 00:00:00
27,NF-000027,3,334,19.431.142/6265-51,Sá,2022-05-04,10116.28,2520.16,55481244322208,Correios,IJYAH9MCK3DGM,2022-05-17,,extraviado,4,2022-05-04 00:00:00
28,NF-000028,3,83,42.087.375/3001-19,Barros Centro Educacional,2023-06-14,1467.2,4401.88,50842145100973,Total Express,KJBAJGFMNIL5J,2023-06-29,2023-06-29,entregue,117,2023-06-14 00:00:00
29,NF-000029,3,796,66.912.517/7852-89,Fonseca Instituto,2025-02-19,34165.21,568.95,55481244322208,Correios,0KHVX324KH38H,2025-03-06,,devolvido,15,2025-02-19 00:00:00
30,NF-000030,1,266,37.770.143/6349-57,Marques Escola,2025-02-14,36781.03,3966.91,55481244322208,Correios,QNILEHDC3PXUU,2025-02-19,2025-02-19,entregue,268,2025-02-15 00:00:00
31,NF-000031,2,1095,00.978.820/8121-91,Santos Azevedo S/A,2023-08-04,13676.32,793.08,07901319850452,Braspress,CCQNYVHPK8RNF,2023-08-10,,aguardando_coleta,263,2023-08-05 00:00:00
32,NF-000032,1,190,74.741.124/9035-21,Caldeira Centro Educacional,2024-03-18,46438.79,1169.42,07901319850452,Braspress,QRPICQ5YOHSTU,2024-03-27,,em_transito,53,2024-03-19 00:00:00
