id,name,details,external_id,domain_names,created_at,updated_at
1,Lopes Cavalcanti e Filhos,,,,2022-06-12 00:00:00,2024-06-03 00:00:00
2,Ferreira,,,escola15.com.br,2023-05-09 00:00:00,2025-05-12 00:00:00
3,Cassiano,,,escola12.com.br,2023-10-11 00:00:00,2025-09-28 00:00:00
4,Barbosa,,24026811775891,escola92.com.br,2022-10-25 00:00:00,2025-02-10 00:00:00
5,Ferreira,,,,2022-01-11 00:00:00,2025-09-30 00:00:00
6,Almeida,,69993867749649,,2023-05-05 00:00:00,2025-07-17 00:00:00
7,Rocha,,74993097289623,escola155.com.br,2022-05-23 00:00:00,2025-08-21 00:00:00
8,Porto,,,,2022-04-08 00:00:00,2024-04-13 00:00:00
9,Mendonça Câmara Ltda.,,,escola220.com.br,2022-05-05 00:00:00,2024-01-13 00:00:00
10,Rocha,CNPJ: 65.676.618/2512-86,65676618251286,escola174.com.br,2023-02-02 00:00:00,2025-04-19 00:00:00
11,Gonçalves Colégio,,62344565574313,escola248.com.br,2022-10-05 00:00:00,2024-09-11 00:00:00
12,Ribeiro,,04637454990453,escola167.com.br,2023-03-13 00:00:00,2024-12-05 00:00:00
13,Mendonça,,,,2022-11-24 00:00:00,2024-01-15 00:00:00
14,Pimenta,,,,2023-02-09 00:00:00,2025-10-06 00:00:00
15,Peixoto Instituto,CNPJ: 16.719.022/9413-18,16719022941318,,2022-08-02 00:00:00,2024-02-10 00:00:00
16,Barros Colégio,,93618324210249,,2023-08-05 00:00:00,2025-12-06 00:00:00
17,da Luz Viana e Filhos,,,,2023-10-03 00:00:00,2025-03-16 00:00:00
18,Marques,,,escola114.com.br,2023-10-31 00:00:00,2025-04-14 00:00:00
19,Vieira,CNPJ: 35.680.442/0678-83,,,2023-11-12 00:00:00,2025-05-09 00:00:00
20,Souza Novais - EI,CNPJ: 76.936.763/2016-32,76936763201632,,2023-12-22 00:00:00,2025-12-08 00:00:00
21,Porto,,69725217525007,escola294.com.br,2022-08-20 00:00:00,2024-05-29 00:00:00
22,Brito Brito e Filhos,,94406409097439,escola81.com.br,2022-06-20 00:00:00,2025-03-30 00:00:00
23,Andrade,,,escola158.com.br,2023-11-06 00:00:00,2024-07-22 00:00:00
24,Camargo,,47312172715518,,2022-02-11 00:00:00,2024-04-24 00:00:00
25,Martins Centro Educacional,CNPJ: 22.842.102/0539-50,22842102053950,,2022-02-18 00:00:00,2025-11-06 00:00:00
26,Nogueira,CNPJ: 01.438.889/9375-67,,,2022-06-15 00:00:00,2025-06-29 00:00:00
27,Carvalho Ltda.,cnpj 41036971179808,,escola125.com.br,2022-07-03 00:00:00,2025-04-14 00:00:00
28,Mendonça Cunha Ltda.,,11526218159970,escola268.com.br,2023-07-05 00:00:00,2025-03-24 00:00:00
29,Alves Colégio,,,escola1.com.br,2022-08-15 00:00:00,2025-12-17 00:00:00
30,Cassiano Colégio,,34670656272980,,2023-08-12 00:00:00,2024-09-14 00:00:00
31,da,,94043898364037,,2022-10-16 00:00:00,2025-07-04 00:00:00
32,Nascimento Instituto,,53315869232260,,2022-07-10 00:00:00,2024-08-14 00:00:00
33,Farias Instituto,CNPJ: 89.113.529/0965-61,89113529096561,escola207.com.br,2023-06-30 00:00:00,2024-07-25 00:00:00
34,Pimenta,,,escola309.com.br,2023-02-17 00:00:00,2025-07-19 00:00:00
35,Mendonça,CNPJ: 51.713.395/9629-23,51713395962923,escola221.com.br,2023-06-08 00:00:00,2024-08-05 00:00:00
36,da Centro Educacional,,61379180552696,escola234.com.br,2023-02-28 00:00:00,2024-09-25 00:00:00
37,Rodrigues e Filhos,,,,2022-05-07 00:00:00,2024-02-19 00:00:00
38,Lopes,,45494808313678,escola53.com.br,2022-02-13 00:00:00,2025-02-21 00:00:00
39,Fonseca,CNPJ: 47.143.455/8122-36,47143455812236,,2022-08-20 00:00:00,2024-06-12 00:00:00
40,Sampaio Centro Educacional,,03397401489025,,2023-06-14 00:00:00,2025-11-03 00:00:00
41,Peixoto,,44310698720506,escola270.com.br,2022-01-11 00:00:00,2025-09-11 00:00:00
42,Vargas Colégio,,,escola243.com.br,2023-09-07 00:00:00,2024-09-20 00:00:00
43,Pires,,,escola19.com.br,2022-02-03 00:00:00,2024-07-26 00:00:00
44,Montenegro,cnpj 88059296222927,88059296222927,,2023-02-21 00:00:00,2024-03-18 00:00:00
45,Marques Instituto,,,escola195.com.br,2023-05-24 00:00:00,2024-10-13 00:00:00
