id,subject,description,status,priority,type,requester_id,submitter_id,assignee_id,organization_id,tags,custom_field_order_ref,custom_field_cnpj,satisfaction_score,satisfaction_comment,created_at,updated_at,solved_at,due_at
1,Contrato - dúvida,Descrição do problema: contrato - dúvida. Escola solicita resolução.,pending,urgent,task,117,117,382,,plataforma troca senha atraso,151,96.838.761/3437-39,,,2024-03-11 00:00:00,2024-04-08 00:00:00,,2024-03-15 00:00:00
2,Cancelamento de pedido,Descrição do problema: cancelamento de pedido. Escola solicita resolução.,pending,normal,incident,242,242,394,291,pagamento cancelamento,,1996555346,,,2023-05-20 00:00:00,2023-06-07 00:00:00,,2023-05-25 00:00:00
3,Cancelamento de pedido,Descrição do problema: cancelamento de pedido. Escola solicita resolução.,pending,high,incident,282,282,472,130,acesso urgente,770,77.573.991/1339-48,,,2025-05-02 00:00:00,2025-05-30 00:00:00,,2025-05-07 00:00:00
4,Boleto não recebido,Descrição do problema: boleto não recebido. Escola solicita resolução.,new,low,incident,80,80,422,92,suporte_técnico login cancelamento,,1720168679,,,2024-05-13 00:00:00,2024-06-09 00:00:00,,2024-05-15 00:00:00
5,Boleto não recebido,Descrição do problema: boleto não recebido. Escola solicita resolução.,closed,normal,problem,330,330,451,78,pagamento,1178,,,,2025-04-29 00:00:00,2025-05-12 00:00:00,2025-05-07 00:00:00,2025-05-04 00:00:00
6,Suporte técnico - plataforma,Descrição do problema: suporte técnico - plataforma. Escola solicita resolução.,solved,normal,task,203,203,440,209,contrato,,,,,2025-01-29 00:00:00,2025-02-03 00:00:00,2025-01-31 00:00:00,2025-02-02 00:00:00
7,Acesso à plataforma digital,Descrição do problema: acesso à plataforma digital. Escola solicita resolução.,solved,high,task,321,321,430,237,acesso urgente,1555,,bad,Demorou muito,2025-06-26 00:00:00,2025-06-26 00:00:00,2025-07-23 00:00:00,2025-06-27 00:00:00
8,Cancelamento de pedido,Descrição do problema: cancelamento de pedido. Escola solicita resolução.,closed,normal,task,291,291,420,147,nota_fiscal pagamento,,12.808.201/8038-47,good,,2022-05-04 00:00:00,2022-05-12 00:00:00,2022-05-10 00:00:00,2022-05-08 00:00:00
9,Pagamento duplicado,Descrição do problema: pagamento duplicado. Escola solicita resolução.,pending,urgent,problem,199,199,468,33,senha erro_sistema pagamento devolução,1178,,,,2024-09-06 00:00:00,2024-09-18 00:00:00,,2024-09-07 00:00:00
10,Senha não funciona,Descrição do problema: senha não funciona. Escola solicita resolução.,closed,low,question,169,169,463,,troca suporte_técnico erro_sistema digital,,,good,,2025-10-06 00:00:00,2025-10-10 00:00:00,2025-10-16 00:00:00,2025-10-09 00:00:00
11,Senha não funciona,Descrição do problema: senha não funciona. Escola solicita resolução.,pending,normal,task,296,296,384,,material_danificado,1024,,,,2024-11-22 00:00:00,2024-12-12 00:00:00,,2024-11-28 00:00:00
12,Suporte técnico - plataforma,Descrição do problema: suporte técnico - plataforma. Escola solicita resolução.,closed,urgent,problem,152,152,427,12,entrega senha,,,,,2025-04-13 00:00:00,2025-04-21 00:00:00,2025-04-12 00:00:00,2025-04-18 00:00:00
13,Troca de material,Descrição do problema: troca de material. Escola solicita resolução.,new,high,problem,284,284,478,152,atraso falta_material erro_sistema login,,,,,2025-07-05 00:00:00,2025-07-15 00:00:00,,2025-07-07 00:00:00
14,Devolução de material,Descrição do problema: devolução de material. Escola solicita resolução.,closed,high,incident,81,81,472,173,atraso falta_material login suporte_técnico,606,,good,,2024-01-13 00:00:00,2024-01-24 00:00:00,2024-01-16 00:00:00,2024-01-18 00:00:00
15,Problema de login,Descrição do problema: problema de login. Escola solicita resolução.,solved,urgent,problem,237,237,461,170,login nota_fiscal devolução,1119,,good,,2023-01-30 00:00:00,2023-02-07 00:00:00,2023-02-04 00:00:00,2023-02-05 00:00:00
16,Falta de material,Descrição do problema: falta de material. Escola solicita resolução.,pending,normal,problem,254,254,409,292,devolução cancelamento entrega,761,90.507.075/9065-78,,,2024-06-26 00:00:00,2024-07-24 00:00:00,,2024-06-28 00:00:00
17,Nota fiscal com erro,Descrição do problema: nota fiscal com erro. Escola solicita resolução.,pending,normal,incident,349,349,393,274,pagamento urgente,,,,,2023-09-05 00:00:00,2023-09-18 00:00:00,,2023-09-11 00:00:00
