ticket_id,tag
1,plataforma
1,troca
1,senha
1,atraso
2,pagamento
2,cancelamento
3,acesso
3,urgente
4,suporte_técnico
4,login
4,cancelamento
5,pagamento
6,contrato
7,acesso
7,urgente
8,nota_fiscal
8,pagamento
9,senha
9,erro_sistema
9,pagamento
9,devolução
10,troca
10,suporte_técnico
10,erro_sistema
10,digital
11,material_danificado
12,entrega
12,senha
13,atraso
13,falta_material
13,erro_sistema
13,login
14,atraso
14,falta_material
14,login
14,suporte_técnico
15,login
15,nota_fiscal
15,devolução
16,devolução
16,cancelamento
16,entrega
17,pagamento
17,urgente
18,login
18,plataforma
18,acesso
19,pagamento
20,atraso
20,nota_fiscal
20,digital
21,atraso
22,contrato
22,falta_material
22,login
22,digital
23,erro_sistema
24,contrato
25,entrega
25,boleto
26,login
26,acesso
27,financeiro
27,nota_fiscal
27,devolução
28,troca
28,erro_sistema
29,senha
29,pagamento
29,cancelamento
30,nota_fiscal
30,devolução
30,login
31,nota_fiscal
32,entrega
32,digital
32,troca
32,login
33,atraso
33,contrato
33,falta_material
33,digital
34,urgente
34,atraso
34,digital
34,acesso
35,material_danificado
36,entrega
37,boleto
38,material_danificado
39,plataforma
39,nota_fiscal
40,nota_fiscal
40,devolução
41,login
42,digital
42,devolução
42,entrega
42,plataforma
43,cancelamento
43,devolução
43,erro_sistema
44,plataforma
45,entrega
45,plataforma
46,cancelamento
47,material_danificado
48,suporte_técnico
48,nota_fiscal
48,devolução
49,falta_material
50,acesso
51,material_danificado
52,contrato
52,entrega
53,boleto
53,senha
53,acesso
53,entrega
54,cancelamento
54,troca
54,devolução
55,senha
56,financeiro
57,nota_fiscal
57,troca
57,acesso
58,entrega
58,erro_sistema
58,falta_material
58,login
59,urgente
59,cancelamento
60,erro_sistema
61,nota_fiscal
61,contrato
61,material_danificado
62,financeiro
62,boleto
62,suporte_técnico
63,boleto
63,login
63,suporte_técnico
64,atraso
65,entrega
66,pagamento
66,senha
67,pagamento
67,erro_sistema
67,atraso
68,suporte_técnico
68,cancelamento
69,devolução
69,acesso
69,pagamento
70,erro_sistema
70,nota_fiscal
71,suporte_técnico
71,entrega
71,pagamento
71,troca
72,financeiro
72,urgente
73,urgente
73,pagamento
73,entrega
73,login
74,cancelamento
74,digital
75,erro_sistema
76,pagamento
77,senha
77,erro_sistema
77,contrato
78,pagamento
79,falta_material
80,material_danificado
80,entrega
81,erro_sistema
82,login
82,senha
83,entrega
83,suporte_técnico
83,pagamento
84,urgente
84,nota_fiscal
84,entrega
85,suporte_técnico
86,login
86,devolução
86,senha
87,devolução
87,contrato
88,atraso
88,nota_fiscal
89,atraso
89,material_danificado
90,digital
90,entrega
91,boleto
92,pagamento
92,contrato
92,troca
92,acesso
93,entrega
93,material_danificado
93,falta_material
93,acesso
94,suporte_técnico
94,cancelamento
94,acesso
95,entrega
95,contrato
96,digital
97,entrega
97,nota_fiscal
97,digital
98,pagamento
98,atraso
98,entrega
98,devolução
99,material_danificado
99,acesso
99,boleto
100,financeiro
100,pagamento
100,cancelamento
100,troca
101,pagamento
101,nota_fiscal
101,boleto
102,cancelamento
102,nota_fiscal
102,entrega
103,erro_sistema
103,senha
103,plataforma
104,contrato
104,senha
105,financeiro
106,login
106,suporte_técnico
106,pagamento
107,troca
107,boleto
107,contrato
107,material_danificado
108,boleto
108,atraso
108,nota_fiscal
108,erro_sistema
109,cancelamento
109,login
109,troca
110,boleto
110,financeiro
111,falta_material
111,atraso
111,senha
111,entrega
112,contrato
112,erro_sistema
113,erro_sistema
113,devolução
113,login
113,pagamento
114,acesso
114,entrega
115,erro_sistema
116,material_danificado
116,acesso
117,boleto
117,contrato
117,login
117,digital
118,material_danificado
118,urgente
119,troca
119,senha
119,suporte_técnico
119,plataforma
120,atraso
120,senha
120,devolução
120,erro_sistema
121,plataforma
121,devolução
121,urgente
122,devolução
122,falta_material
122,entrega
123,cancelamento
123,urgente
124,financeiro
124,boleto
125,atraso
125,senha
125,material_danificado
125,financeiro
126,troca
126,financeiro
126,pagamento
126,senha
127,acesso
127,atraso
127,nota_fiscal
128,contrato
129,cancelamento
129,urgente
129,plataforma
130,falta_material
131,material_danificado
131,erro_sistema
132,material_danificado
132,suporte_técnico
133,cancelamento
133,suporte_técnico
133,entrega
134,nota_fiscal
134,plataforma
134,contrato
135,devolução
135,falta_material
135,erro_sistema
136,acesso
136,financeiro
136,suporte_técnico
136,login
137,urgente
137,login
137,suporte_técnico
137,falta_material
138,falta_material
138,suporte_técnico
138,devolução
139,boleto
139,cancelamento
139,entrega
139,plataforma
140,troca
141,pagamento
141,devolução
142,entrega
142,contrato
143,material_danificado
144,material_danificado
144,erro_sistema
145,devolução
145,plataforma
145,atraso
146,financeiro
146,login
146,falta_material
146,senha
147,senha
147,devolução
147,login
147,falta_material
148,falta_material
148,pagamento
148,material_danificado
149,cancelamento
150,devolução
150,nota_fiscal
150,suporte_técnico
150,login
151,digital
151,plataforma
151,material_danificado
152,erro_sistema
152,entrega
